2026-08-08 17:11:47.577 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-08-08 17:11:47.725 [main] INFO  c.a.i.d.app.InstaApplication - Starting InstaApplication using Java 17.0.8 with PID 19036 (C:\Users\am619\Downloads\insta\insta\target\classes started by am619 in C:\Users\am619\Downloads\insta\insta)
2026-08-08 17:11:47.728 [main] INFO  c.a.i.d.app.InstaApplication - No active profile set, falling back to 1 default profile: "default"
2026-08-08 17:11:50.834 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-08-08 17:11:50.862 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-8081"]
2026-08-08 17:11:50.866 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-08-08 17:11:50.867 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.46]
2026-08-08 17:11:51.014 [main] INFO  o.a.c.c.C.[.[.[/insta-scrapper] - Initializing Spring embedded WebApplicationContext
2026-08-08 17:11:51.015 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3208 ms
2026-08-08 17:12:09.835 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-8081"]
2026-08-08 17:12:09.903 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/insta-scrapper'
2026-08-08 17:12:09.922 [main] INFO  c.a.i.d.app.InstaApplication - Started InstaApplication in 23.081 seconds (process running for 23.99)
2026-08-08 17:13:28.011 [http-nio-0.0.0.0-8081-exec-2] INFO  o.a.c.c.C.[.[.[/insta-scrapper] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-08-08 17:13:28.011 [http-nio-0.0.0.0-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-08-08 17:13:28.014 [http-nio-0.0.0.0-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-08-08 17:13:28.241 [http-nio-0.0.0.0-8081-exec-2] INFO  c.a.i.d.a.c.DownloadController - Request received for URL [https://www.instagram.com/cristiano/reel/DaU63nnAkoo/]
